stationId,polluant,valeur,date,heure
6,"PM",5,"2024-09-27",13
17,"O3",11,"2024-09-27",13
17,"NO2",1,"2024-09-27",13
17,"PM",5,"2024-09-27",13
28,"CO",1,"2024-09-27",13
28,"O3",9,"2024-09-27",13
28,"NO2",2,"2024-09-27",13
28,"PM",7,"2024-09-27",13
31,"SO2",0,"2024-09-27",13
31,"CO",1,"2024-09-27",13
31,"O3",11,"2024-09-27",13
31,"NO2",1,"2024-09-27",13
31,"PM",4,"2024-09-27",13
50,"PM",4,"2024-09-27",13
55,"CO",1,"2024-09-27",13
55,"PM",4,"2024-09-27",14
66,"O3",14,"2024-09-27",14
66,"NO2",1,"2024-09-27",14
66,"PM",3,"2024-09-27",14
80,"SO2",1,"2024-09-27",14
80,"O3",12,"2024-09-27",14
80,"NO2",2,"2024-09-27",14
80,"PM",5,"2024-09-27",14
99,"O3",15,"2024-09-27",14
99,"NO2",1,"2024-09-27",14
99,"PM",3,"2024-09-27",14
103,"O3",10,"2024-09-27",14
103,"NO2",2,"2024-09-27",14
103,"PM",5,"2024-09-27",14
3,"SO2",1,"2024-09-27",13
55,"O3",11,"2024-09-27",13
55,"NO2",1,"2024-09-27",13
55,"PM",4,"2024-09-27",13
66,"O3",13,"2024-09-27",13
66,"NO2",1,"2024-09-27",13
66,"PM",3,"2024-09-27",13
80,"SO2",1,"2024-09-27",13
66,"O3",9,"2024-09-27",4
66,"NO2",2,"2024-09-27",4
66,"PM",6,"2024-09-27",4
80,"SO2",1,"2024-09-27",4
80,"O3",9,"2024-09-27",4
80,"NO2",2,"2024-09-27",4
80,"PM",7,"2024-09-27",4
99,"O3",8,"2024-09-27",4
99,"NO2",1,"2024-09-27",4
99,"PM",7,"2024-09-27",4
103,"O3",5,"2024-09-27",4
103,"NO2",3,"2024-09-27",4
103,"PM",8,"2024-09-27",4
